Item,Description,Retail_Price,Loyalty_Discount,CustomerID
8619953091,Pillowcase,18.96,0.02,200000663
2020397001,Men's Pajama Set,23.1,0,200000661
4681342313,Sheets,29.9,0.1,200000662
6697166886,Coat,159.8,0.07,100000007
6697166886,Coat,159.8,0.06,400000180
5187373849,Short Slip,12.87,0.1,200000701
7010679527,Blanket,63.84,0.08,300000467
1893735141,Socks,115.5,0.1,400000706
8241463559,Wallet,49.75,0.1,100000061
2430071492,Dust Ruffle,41.86,0.02,400000513
6988128169,Handbag,25.44,0.04,200000459
7270957383,Scarf,29.85,0.01,200000482
6228611532,Valance,47.76,0.02,100000081
1940915493,Long Gown,68.77,0.08,200000821
3305177499,Coveralls (long sleeve),95.88,0.08,300000015
4924918902,T-shirt,62.79,0.09,100000252
2363094138,Short Overalls,71.82,0.07,300000822
2355020550,Sweater,67.92,0.03,300000815
3890778939,Suit & 2 pc Dress,125.16,0.08,100000618
5153370805,Shorts,43.96,0.04,100000051
1737807900,Tie,68.64,0.03,100000880
2695940506,Sweater,59.4,0.02,100000898
9873264896,Hat,10.89,0.07,400000359
7270957383,Scarf,29.85,0.09,100000559
8068199275,Slacks,87.78,0.03,100000878
2588421965,Commode Cover,15.84,0.08,100000013
9730446421,Blazer,103.3,0,100000569
4327321762,Dress,69.75,0.03,300000852
3126356136,Formal Dress,99.9,0.09,100000158
2178891798,Hand Towel,18.17,0.05,300000023
3795753080,Jeans,38.1,0.09,100000923
2210750188,Blazer,119.76,0.1,100000251
5509524170,Couch Cover,86.68,0.02,400000557
2524845521,Gown & Robe Set,105.6,0.1,300000614
6228611532,Valance,47.76,0.09,100000477
4924918902,T-shirt,62.79,0.09,200000537
5050067655,Bottoms,66.96,0,100000567
3123824581,Sweatpants,43.89,0.04,200000256
7841340144,Shirt,29.4,0,400000368
9538578209,Dress,87.36,0.06,100000521
9730446421,Blazer,103.3,0.07,200000493
5310615417,Tie,41.79,0.03,100000173
6991736764,Pillow Sham,19.8,0.07,100000824
6182400847,Blazer,26.88,0.03,100000344
8675740287,Baby Quilt,47.76,0.09,100000760
6661671897,Swimwear,50.83,0.09,100000542
2430071492,Dust Ruffle,41.86,0.09,300000730
2363094138,Short Overalls,71.82,0.1,100000121
7833392032,Skirt,55.86,0.04,100000051
3256419181,Short Slip,102,0.09,200000582
1160651321,Coat,93.9,0.08,400000396
2355020550,Sweater,67.92,0.06,300000238
1284609276,Sweater,95.76,0.02,100000236
5509524170,Couch Cover,86.68,0,100000010
6511971572,Sleeping Bag,47.88,0.06,100000341
8143229140,Shower Shoes,27.86,0.06,100000564
6182400847,Blazer,26.88,0.03,400000690
2113413915,Shorts,59.33,0.03,200000387
9862518267,Socks,10.84,0.02,400000916
3890778939,Suit & 2 pc Dress,125.16,0.02,100000931
8068199275,Slacks,87.78,0.03,100000345
5997626126,Coat/Jacket,39.55,0.02,100000144
3135576553,Underwear,5.88,0.08,300000495
6548962456,Dust Ruffle,65.79,0.09,100000169
7841340144,Shirt,29.4,0.03,300000702
7010679527,Blanket,63.84,0,100000383
3750666773,Waterbed Sheet,79.8,0.02,200000646
7645689457,Apron,9.48,0.04,400000398
6511971572,Sleeping Bag,47.88,0.09,100000192
6697166886,Coat,159.8,0.08,100000315
7833392032,Skirt,55.86,0.08,100000181
8269421724,Long Overalls,124.75,0.01,300000814
9313710898,Dish Towel,32.23,0.02,100000854
2430071492,Dust Ruffle,41.86,0.08,100000286
1284609276,Sweater,95.76,0.09,200000548
8675740287,Baby Quilt,47.76,0.03,100000145
2876522496,Jacket,99.8,0.1,100000412
6228611532,Valance,47.76,0.06,200000350
3382973348,Top,81.76,0.04,100000724
4934584980,Nylon Pants,55.86,0.01,400000653
8586814459,Gown & Robe Set,65.64,0.03,100000136
9538578209,Dress,87.36,0.02,300000271
5480721202,Shirt,67.83,0.08,100000285
4291344502,Long Overalls,55.62,0,200000523
8619953091,Pillowcase,18.96,0.01,100000154
6648383061,Long Slip,27.86,0.02,200000071
1737807900,Tie,68.64,0.07,100000520
7502168586,Baby Quilt,38.06,0.03,100000451
7425260271,Mattress Cover,35.44,0.02,100000546
3305177499,Coveralls (long sleeve),95.88,0.02,300000636
8213207925,Underwear & Boxers,23.76,0.02,100000936
6648383061,Long Slip,27.86,0.05,200000819
2430071492,Dust Ruffle,41.86,0.02,100000171
6511971572,Sleeping Bag,47.88,0.06,100000042
1988250904,Coat,74.16,0.01,300000597
5997626126,Coat/Jacket,39.55,0.01,300000597
6182400847,Blazer,26.88,0.06,200000896
1336619171,Slacks,63.84,0.01,400000472
